BirdID,LatinName,GermanName,EnglishName
0,Abroscopus albogularis,Rostwangen-Dickichtsänger,Rufous-faced Warbler
1,Abroscopus schisticeps,Schieferkopf-Dickichtsänger,Black-faced Warbler
2,Abroscopus superciliaris,Bambusdickichtsänger,Yellow-bellied Warbler
3,Aburria aburri,Lappenguan,Wattled Guan
4,Acanthagenys rufogularis,Braunkehl-Honigfresser,Spiny-cheeked Honeyeater
5,Acanthidops bairdi,Vulkanammertangare,Peg-billed Finch
6,Acanthis cabaret,Alpenbirkenzeisig,Lesser Redpoll
7,Acanthis flammea,Taigabirkenzeisig,Common Redpoll
8,Acanthis hornemanni,Polarbirkenzeisig,Arctic Redpoll
9,Acanthisitta chloris,Grünstummelschwanz,Rifleman
10,Acanthiza apicalis,Stelzschwanz-Dornschnabel,Inland Thornbill
11,Acanthiza chrysorrhoa,Gelbbürzel-Dornschnabel,Yellow-rumped Thornbill
12,Acanthiza ewingii,Tasmandornschnabel,Tasmanian Thornbill
13,Acanthiza inornata,Walddornschnabel,Western Thornbill
14,Acanthiza lineata,Stricheldornschnabel,Striated Thornbill
15,Acanthiza nana,Gelbbauch-Dornschnabel,Yellow Thornbill
16,Acanthiza pusilla,Roststirn-Dornschnabel,Brown Thornbill
17,Acanthiza reguloides,Goldhähnchen-Dornschnabel,Buff-rumped Thornbill
18,Acanthiza uropygialis,Braunbürzel-Dornschnabel,Chestnut-rumped Thornbill
19,Acanthorhynchus superciliosus,Buntkopf-Honigfresser,Western Spinebill
20,Acanthorhynchus tenuirostris,Rotnacken-Honigfresser,Eastern Spinebill
21,Accipiter badius,Schikrasperber,Shikra
22,Accipiter bicolor,Zweifarbhabicht,Bicoloured Hawk
23,Accipiter cirrocephalus,Halsringsperber,Collared Sparrowhawk
24,Accipiter cooperii,Rundschwanzhabicht,Cooper's Hawk
25,Accipiter fasciatus,Bänderhabicht,Brown Goshawk
26,Accipiter gentilis,Habicht,Eurasian Goshawk
27,Accipiter gularis,Trillersperber,Japanese Sparrowhawk
28,Accipiter hiogaster,Inselhabicht,Variable Goshawk
29,Accipiter melanoleucus,Dominohabicht,Black Goshawk
30,Accipiter minullus,Zwergsperber,Little Sparrowhawk
31,Accipiter nisus,Sperber,Eurasian Sparrowhawk
32,Accipiter novaehollandiae,Grauhabicht,Grey Goshawk
33,Accipiter poliogaster,Graubauchhabicht,Grey-bellied Hawk
34,Accipiter soloensis,Froschsperber,Chinese Sparrowhawk
35,Accipiter striatus,Eckschwanzsperber,Sharp-shinned Hawk
36,Accipiter superciliosus,Tiny Hawk,Tiny Hawk
37,Accipiter tachiro,Afrikahabicht,African Goshawk
38,Accipiter trinotatus,Fleckschwanzsperber,Spot-tailed Goshawk
39,Accipiter trivirgatus,Schopfhabicht,Crested Goshawk
40,Accipiter virgatus,Besrasperber,Besra
41,Aceros nipalensis,Nepalhornvogel,Rufous-necked Hornbill
42,Achaetops pycnopygius,Klippensänger,Rockrunner
43,Acridotheres burmannicus,Burmamaina,Burmese Myna
44,Acridotheres cristatellus,Haubenmaina,Crested Myna
45,Acridotheres fuscus,Dschungelmaina,Jungle Myna
46,Acridotheres ginginianus,Ufermaina,Bank Myna
47,Acridotheres grandis,Riesenmaina,Great Myna
48,Acridotheres javanicus,Javamaina,Javan Myna
49,Acridotheres tristis,Hirtenmaina,Common Myna
50,Acris crepitans,Northern Cricket Frog,Northern Cricket Frog
51,Acris gryllus,Southern Cricket Frog,Southern Cricket Frog
52,Acrobatornis fonsecai,Plantagenschlüpfer,Pink-legged Graveteiro
53,Acrocephalus agricola,Feldrohrsänger,Paddyfield Warbler
54,Acrocephalus arundinaceus,Drosselrohrsänger,Great Reed Warbler
55,Acrocephalus australis,Australrohrsänger,Australian Reed Warbler
56,Acrocephalus baeticatus,African Reed Warbler,African Reed Warbler
57,Acrocephalus bistrigiceps,Brauenrohrsänger,Black-browed Reed Warbler
58,Acrocephalus concinens,Strauchrohrsänger,Blunt-winged Warbler
59,Acrocephalus dumetorum,Buschrohrsänger,Blyth's Reed Warbler
60,Acrocephalus gracilirostris,Kaprohrsänger,Lesser Swamp Warbler
61,Acrocephalus griseldis,Basrarohrsänger,Basra Reed Warbler
62,Acrocephalus melanopogon,Mariskenrohrsänger,Moustached Warbler
63,Acrocephalus newtoni,Madagaskarrohrsänger,Madagascar Swamp Warbler
64,Acrocephalus orientalis,Chinarohrsänger,Oriental Reed Warbler
65,Acrocephalus paludicola,Seggenrohrsänger,Aquatic Warbler
66,Acrocephalus palustris,Sumpfrohrsänger,Marsh Warbler
67,Acrocephalus rufescens,Papyrusrohrsänger,Greater Swamp Warbler
68,Acrocephalus schoenobaenus,Schilfrohrsänger,Sedge Warbler
69,Acrocephalus scirpaceus,Teichrohrsänger,Common Reed Warbler
70,Acrocephalus stentoreus,Stentorrohrsänger,Clamorous Reed Warbler
71,Acrocephalus tangorum,Mandschurenrohrsänger,Manchurian Reed Warbler
72,Acropternis orthonyx,Perlmanteltapaculo,Ocellated Tapaculo
73,Actenoides concretus,Malaienliest,Rufous-collared Kingfisher
74,Actenoides lindsayi,Tropfenliest,Spotted Kingfisher
75,Actenoides monachus,Einsiedlerliest,Green-backed Kingfisher
76,Actinodura cyanouroptera,Blauflügelsiva,Blue-winged Minla
77,Actinodura egertoni,Roststirn-Meisenhäherling,Rusty-fronted Barwing
78,Actinodura nipalensis,Nepalmeisenhäherling,Hoary-throated Barwing
79,Actinodura ramsayi,Brillenmeisenhäherling,Spectacled Barwing
80,Actinodura strigula,Bändersiva,Chestnut-tailed Minla
81,Actinodura waldeni,Waldenmeisenhäherling,Streak-throated Barwing
82,Actitis hypoleucos,Flussuferläufer,Common Sandpiper
83,Actitis macularius,Drosseluferläufer,Spotted Sandpiper
84,Actophilornis africanus,Blaustirn-Blatthühnchen,African Jacana
85,Adelomyia melanogenys,Schwarzohrkolibri,Speckled Hummingbird
86,Aechmophorus clarkii,Clarktaucher,Clark's Grebe
87,Aechmophorus occidentalis,Renntaucher,Western Grebe
88,Aegithalos caudatus,Schwanzmeise,Long-tailed Tit
89,Aegithalos concinnus,Schwarzkehl-Schwanzmeise,Black-throated Tit
90,Aegithalos glaucogularis,Silberkehl-Schwanzmeise,Silver-throated Tit
91,Aegithalos iouschistos,Rostwangen-Schwanzmeise,Black-browed Tit
92,Aegithalos niveogularis,Weißkehl-Schwanzmeise,White-throated Tit
93,Aegithina nigrolutea,Schwarzkappeniora,White-tailed Iora
94,Aegithina tiphia,Garteniora,Common Iora
95,Aegithina viridissima,Smaragdiora,Green Iora
96,Aegolius acadicus,Sägekauz,Northern Saw-whet Owl
